objectid;arrondissement;n_sq_evp;st_area(shape);st_perimeter(shape);geo_shape;geo_point_2d
2455;14;2132;123.30719275189152;60.60536149256639;"{""coordinates"": [[[2.324302763796797, 48.827375756443026], [2.32452155357417, 48.82731831074009], [2.3244968778250774, 48.82727741877358], [2.324278939522486, 48.82733549700911], [2.324175078599905, 48.82736309661154], [2.3242023082128007, 48.827403778229844], [2.324302763796797, 48.827375756443026]]], ""type"": ""Polygon""}";48.82734040483768, 2.3243487701094137
2515;7;283;68.71035470137907;33.222787396802865;"{""coordinates"": [[[2.3049148887275925, 48.86093199042025], [2.304805869251374, 48.860907160084636], [2.3047674932981437, 48.86097543810821], [2.3048799197477234, 48.86099991863237], [2.304896978254056, 48.860965497880926], [2.3049148887275925, 48.86093199042025]]], ""type"": ""Polygon""}";48.860953712116164, 2.304841681557406
2592;15;1131;1151.6245694229285;185.07728341293586;"{""coordinates"": [[[2.27907617759002, 48.83521911037247], [2.278878600117186, 48.835263763225704], [2.2789555715283862, 48.835413902236354], [2.2788315573640543, 48.83544886338428], [2.278897460817378, 48.835574875584506], [2.2787811457916263, 48.83560220602553], [2.278808245366421, 48.83565625010223], [2.279216768363177, 48.835567420597634], [2.27950283629107, 48.835497861432756], [2.2794752222715458, 48.83544560506707], [2.279344073341082, 48.835473782046186], [2.2792667450020065, 48.83534503459573], [2.279144722106109, 48.83536627010615], [2.27907617759002, 48.83521911037247]]], ""type"": ""Polygon""}";48.83545440050782, 2.2790863555344933
2973;9;774;39.539852360021946;25.720130414217426;"{""coordinates"": [[[2.334201846292331, 48.87748291174141], [2.3341950331286268, 48.87741911992503], [2.3341191943446375, 48.87742003092173], [2.334126858972192, 48.87748579072922], [2.3341387893915124, 48.87748558009371], [2.3341387890981533, 48.877483683392654], [2.334201846292331, 48.87748291174141]]], ""type"": ""Polygon""}";48.87745158953793, 2.334160535652745
493;13;100543;826.4305779159763;220.20857404699532;"{""coordinates"": [[[2.345405108136415, 48.83584951997694], [2.3454214044068555, 48.83587029193804], [2.345401285059526, 48.83587698375707], [2.345421858906071, 48.83590418353048], [2.345630709663205, 48.83583644095363], [2.3456321354050296, 48.83587350183744], [2.3459008697880184, 48.835825933648124], [2.3458213017854557, 48.83542941203482], [2.345610060050673, 48.83546572512594], [2.345626506024711, 48.83555270581872], [2.3457420630929033, 48.83554273260049], [2.3457881625437946, 48.835780847975755], [2.3456183733056974, 48.83579508794998], [2.34559351700274, 48.83566504625737], [2.345549285034431, 48.83566868952428], [2.3455508398476113, 48.83567712691464], [2.3454653062786286, 48.835683878123206], [2.3454647594761804, 48.83567567108991], [2.3454036908691744, 48.83568074569936], [2.345420939631735, 48.8357826486257], [2.3454392220136935, 48.83578130698735], [2.345449120978075, 48.8358344805643], [2.345405108136415, 48.83584951997694]]], ""type"": ""Polygon""}";48.83569673326129, 2.3456732729945946
626;20;100675;261.3487067854855;70.60256192567442;"{""coordinates"": [[[2.386717479205422, 48.86732893009869], [2.387000114125176, 48.86740621387448], [2.387035296119677, 48.86734698910384], [2.3869741856274653, 48.86733024519075], [2.3870074226544324, 48.86727353940467], [2.3867857350483987, 48.86722690172875], [2.386717479205422, 48.86732893009869]]], ""type"": ""Polygon""}";48.86731376987031, 2.3868804593771342
1323;14;101377;571.1214309631564;120.05317795026804;"{""coordinates"": [[[2.3311348321697807, 48.821799112562516], [2.330930023976329, 48.82138531262418], [2.3307787546390433, 48.8214231961975], [2.330981684571354, 48.821832776774485], [2.3311348321697807, 48.821799112562516]]], ""type"": ""Polygon""}";48.82161002667353, 2.330956431353907
1485;5;101564;386.8455510735733;84.19796050735283;"{""coordinates"": [[[2.3593766107891416, 48.84081059885441], [2.3590206396679383, 48.84070289718194], [2.358954270249292, 48.84081068278262], [2.359296622865864, 48.840927309828], [2.3593766107891416, 48.84081059885441]]], ""type"": ""Polygon""}";48.84081361512842, 2.3591649991743227
1703;7;61;562.690066242398;111.99997457602089;"{""coordinates"": [[[2.305214663772682, 48.857648078873005], [2.305133281524704, 48.85776976389621], [2.3051170809266113, 48.857795543358776], [2.3051119643584452, 48.8578034108812], [2.3050198824604062, 48.857942351653335], [2.3049823662150493, 48.85800072401925], [2.305143999554239, 48.858049610872186], [2.3051583302838794, 48.85802760773609], [2.3051623023261483, 48.85802891148085], [2.305363192768878, 48.857712701820425], [2.305360468179972, 48.857711783052274], [2.3053724659333166, 48.857693312498185], [2.305214663772682, 48.857648078873005]]], ""type"": ""Polygon""}";48.85784948942209, 2.3051789781770364
1905;13;1165;99.4890513487169;53.81222315327935;"{""coordinates"": [[[2.342921113288148, 48.83775435825371], [2.342845109160083, 48.83759942851698], [2.342781213097778, 48.837613086909215], [2.3428459835742146, 48.837745120035486], [2.3427956621207735, 48.837756013708166], [2.3428063448332273, 48.83777828767188], [2.3428064458203073, 48.837778490584355], [2.342921113288148, 48.83775435825371]]], ""type"": ""Polygon""}";48.83769174909299, 2.3428485858861574
